fecha,Ruta,OperadOR,ac_type,all_aboard,cantidad de fallecidos,ground
1966-11-22,"Near Aden, Yemen",Aden Airways,Douglas DC-3,30,30,0
1966-11-24,"Near Bratislava, Czechoslovakia",Transportno Aviatsionno Bulgaro-Soviet Obshchestvo,Ilyushin IL-18B,82,82,0
1966-11-26,"Near Saigon, South Vietnam",Military - U.S. Air Force,Douglas C-47D,31,31,0
1966-11-26,"Near La Pedrera, Colombia",Satena,Consolidated  PBY-5A Catalina,13,12,0
1966-12-02,"Moscow, Russia",Aeroflot,Tupolev TU-114B,21,21,0
1966-12-18,"Bogota, Colombia",Aerocondor de Colombia,Lockheed L-1649A Starliner,59,17,0
1966-12-24,"Cascubel River, Colombia",AVIANCA,Douglas C-47A-80-DL,29,29,0
1966-12-24,"Binh Tahi, Da Nang, Vietnam",Flying Tiger Line,Canadair CL-44D4-1,4,4,125
1967-02-06,"Aleppo, Syria",Syrian Arab Airlines,Douglas DC-3,19,1,0
1967-02-07,"Near Hourghada, UAR",Misrair,Antonov AN-24,30,30,0
1967-02-09,"Near Mexico City, Mexico",Cubana de Aviacion,Antonov AN-12,10,10,0
1967-02-16,"Manado, Indonesia",Garuda Indonesia Airlines,Lockheed L-188C Electra,63,22,0
1967-02-20,"Tegucigalpa, Honduras",Sahsa Airlines,Douglas DC-6,55,4,0
1967-02-28,"Mactan, Philippines",Philippine Air Lines,Fokker F-27 Friendship 100,20,12,0
1967-03-05,"Near Marseille, Ohio",Lake Central Airlines,Convair CV-580,38,38,0
1967-03-05,"Monrovia, Liberia",Varig,McDonnell Douglas DC-8-33,90,51,5
1967-03-08,"Karachi, Pakistan",Compagnie Air Transport,AT L98 Carvair,6,4,7
1967-03-09,"Urbana, Ohio",Trans World Airlines / Private,MD Douglas DC-9-15 / Beechcraft Baron-55,26,26,0
1967-03-10,"Near Phan Rang, South Vietnam",Military - U.S. Navy,Douglas C-47J,25,25,0
1967-03-10,"Near Klamath Falls, Oregon",West Coast Airlines,Fairchild F-27,4,4,0
1967-03-11,"Mt Visenti, Italy",Aeralpi,de Havilland Canada DHC-6 Twin Otter 100,5,4,0
1967-03-12,"Near Yakutsk, Russia",Aeroflot,Ilyushin IL-14P,19,15,0
1967-03-13,"Off East London, South Africa",South African Airways,Vickers Viscount 818,25,25,0
1967-03-30,"New Orleans, Louisiana",Delta Air Lines,McDonnell Douglas DC-8-51,6,6,13
1967-04-02,"Off Lima, Peru",Caribbean Airlines,Lockheed 18 Lodestar,5,5,0
1967-04-11,"Tamanrasset, Algeria",Air Algerie,Douglas DC-4,39,35,0
1967-04-17,"Near Mamuniyeh, Iran",Military - Imperial Iranian Air Force,Lockheed C-130B,23,23,0
1967-04-20,"Near Nicosia, Cyprus",Globe Air,Bristol Britannia 175,130,126,0
1967-04-26,"Near Sogamosa, Colombia",AVIANCA,Douglas DC-3,18,17,0
1967-04-27,"Malaybalay, Philippines",Pelita Air Service,Fokker F-27 Friendship 400,21,19,0
1967-05-01,"Flushing, New York",Greylock Airways / Private,de Havilland DH-104 / Piper PA-28,14,3,0
1967-05-15,"Cape Dyer, Northwest Territories Canada",Nordair,Curtiss C-46T,4,4,0
1967-05-19,"Ottawa, Ontario, Canada",Air Canada,Douglas DC-8-54F,3,3,0
1967-06-03,"Mt. Canigou, near Roussillon, France",Air Ferry Ltd,Douglas C54A,88,88,0
1967-06-04,"Stockport, Cheshire, England",British Midland Airways,Canadair C-4 Argonaut,84,72,0
1967-06-11,"Jedda, Saudi Arabia",Saudi Arabian Airlines,Douglas DC-3,18,17,0
1967-06-12,"Near La Paz, Mexico",Aeronaves de Mexico,Douglas DC-3A-197D,4,3,2
1967-06-12,"Dublin, Ireland",Aer Turas,Bristol 170 Freighter 31E,2,2,0
1967-06-15,"Near Coari, Brazil",Military - Brazilian Air Force,Douglas C-47,25,20,0
1967-06-17,"An Khe, South Vietnam",Military - U.S. Air Force,Lockheed C-130B,56,35,0
1967-06-23,"Blossburg, Pennsylvania",Mohawk Airlines,BAC One Eleven 204AF,34,34,0
1967-06-23,"Near Jacksonville, North Carolina",Military - U.S. Marine Corps/Military - U.S. Marine Corps,Bell UH-1B / Sikorsky CH53A helicopters,35,22,0
1967-06-24,"Khamis Mushait, Saudi Arabia",Saudi Arabian Airlines,Douglas DC-3,17,16,0
1967-06-30,"Kai Tak, Hong Kong",Thai International,Sud Aviation SE-210 Caravelle III,80,24,0
1967-07-06,"Bacolod, Philippines",Philippine Air Lines,Fokker F-27 Friendship 100,21,21,0
1967-07-19,"Near Hendersonville, North Carolina",Piedmont Airlines / Private,Boeing B-727-22 / Cessna 310,82,82,0
1967-07-19,"Tananarive, Malagasy Republic",Air Madagascar,Douglas DC-4-1009,42,42,0
1967-07-25,"Near Luang Prabang, Laos",Vehu Akat,Douglas DC-3,16,16,0
1967-07-25,"Near Luang Prabang, Laos",Taiwan Aviation,Douglas DC-3,18,18,0
1967-09-05,"Near Gander, Newfoundland, Canada",Ceskoslovenske Aerolinie,Ilyushin IL-18,69,37,0
1967-10-08,"Near Huong Thuy, South Vietnam",Military - U.S. Air Force,Lockheed C130B,23,23,0
1967-10-12,"Off Rhodes, Greece",British European Airways,de Havilland Comet 4B,66,66,0
1967-10-24,South Vietnam,China Airlines (Taiwan),Douglas DC-3,16,16,0
1967-11-03,"Near Curitiba, Brazil",Sadia,Handley Page HPR-7 Herald 214,25,21,0
1967-11-04,"Fernhurst, Sussex, England",Iberia Airlines,Sud Aviation Caravelle 10R,37,37,0
1967-11-05,"Hong Kong, China",Cathay Pacific Airways,Convair CV-880-22M-3,127,1,0
1967-11-06,"Cincinnati, Ohio",Trans World Airlines,Boeing B-707-131,36,1,0
1967-11-16,"Near Sverdlovsk, Russia",Aeroflot,Ilyushin IL-18B,107,107,0
1967-11-20,"Cincinnati International Airport, Covington/Hebron, Kentucky",Trans World Airlines,Convair CV-880-22-1,82,70,0
1967-11-30,"Near Qui Nhon, South Vietnam",Military - U.S. Air Force,de Havilland Canada C-7A Caribou,26,26,0
1967-12-07,"Muong Soui, Laos",Lao Cathay Airlines,Douglas DC-3,12,10,0
1967-12-08,"Carpich Huanuco Mt., Peru",Faucett,Douglas DC-C-54A,72,72,0
1967-12-10,"Near Madison, Wisconsin",Private,Beechcraft 18H,8,7,0
1967-12-21,"Denver, Colorado",Frontier Airlines,Douglas C-47A,2,2,0
1967-12-25,"Chiang Mai, Thailand",Thai Airways,Douglas DC-3,31,4,0
1967-12-30,"Liepaja, Latvia",Aeroflot,Antonov AN-24B,51,44,0
1968-01-06,"Near Olekminsk, Russia",Aeroflot,Antonov An-24B,46,45,0
1968-01-08,"Near Quang Tri, South Vietnam",Military - U.S. Marine Corps,Sikorsky CH-53A (helicopter),42,42,0
1968-01-10,"Near Copper Canyon, Nevada",Military - U.S. Marine Corps,Douglas C-54P,19,19,0
1968-01-15,"Zifta, Egypt",United Arab Airlines,Douglas DC-3,4,4,0
1968-01-27,"Moroni, Comoro Islands",Air Comores,de Havilland DH-114 Heron 1B,16,15,0
1968-02-07,"Vancouver, Canada",Canadian Pacific Air Lines,Boeing B-707-138B,61,1,1
1968-02-07,"Rohtang Pass, Northern India",Military - Indian Air Force,Antonov AN-12BP,102,102,0
1968-02-16,"Linkuo, Taiwan",Civil Air Transport,Boeing B-727-92C,63,21,1
1968-02-24,"Ban Napa, Laos",Royal Air Lao,Douglas DC-3,37,37,0
1968-02-29,"Near Bratsk, Russia",Aeroflot,Ilyushin IL-18D,84,83,0
1968-03-05,"Near Khe Sanh, South Vietnam",Military - U.S. Air Force,Fairchild C-123K,49,49,0
1968-03-06,"Basse-Terre, Guadeloupe, West Indies",Air France,Boeing B-707-328C,63,63,0
1968-03-08,"Off Panay Island, Philippines",Air Manila,Fairchild F-27,14,14,0
1968-03-09,"Near Saint Denis, Reunion",Military - French Air Force,Douglas DC6B,20,19,0
1968-03-24,"Off Wexford Harbor, Ireland",Aer Lingus,Vickers Viscount 803,61,61,0
1968-03-27,"St. Louis, Missouri",Ozark Air Lines / Private,McDonnell Douglas DC-9 and Cessna 150F,51,2,0
1968-03-27,"Near Moscow, Russia",Military - Russian Air Force,MiG-15 UTI,2,2,0
1968-04-08,"Heathrow Airport, London, England",British Overseas Airways,Boeing B-707-465,127,5,0
1968-04-08,"Near Coyhaique, Chile",Ladeco,Douglas DC-3,36,36,0
1968-04-10,"Near Mexico City, Mexico",Aerovias Rojas,Douglas DC-3,18,18,0
1968-04-19,"Near Cheo Reo, South Vietnam",Military - U.S. Army / Military - U.S. Army,Bell UH-1H / Bell UH-1H (helicopter),26,26,0
1968-04-20,"Near Windhoek, South-West  Africa (Namibia)",South African Airways,Boeing B-707-344C,128,123,0
1968-04-30,"Near Chaklala, West Pakistan",Military - Pakistan Air Force,Lockheed Martin L-100-10,22,22,0
1968-05-03,"Near Dawson, Texas",Braniff Airlines,Lockheed L188A Electra,85,85,0
1968-05-12,"Kham Duc, Vietnam",Military - U.S. Air Force,Lockheed C-130B Hercules,155,155,0
1968-05-22,"Paramount, California",Los Angeles Airways,Sikorsky S-61L helicopter,23,23,0
1968-05-28,"Near Bombay, India",Garuda Indonesia Airlines,Convair CV-990-30A-5,29,29,1
1968-06-12,"Calcutta, India",Pan American World Airways,Boeing B-707-321C,63,6,0
1968-06-18,"San Sebastian, Spain",Rinaldo Piaggio,Piaggio PD-808,6,6,0
1968-06-25,"Near Bearcat, South Vietnam",Military - U.S. Army,Bell UH-1H / Bell UH-1H / Bell UH-1H,29,29,0
1968-06-28,"Vichy, Missouri",Purdue Airlines Inc.,Douglas DC-3 (C-47-DL),27,1,0
1968-07-03,"London, England",BKS Air Transport,Airspeed AS.57 Ambassador 2,8,6,0
1968-07-08,"Near Dhahran, Saudi Arabia",Saudi Arabian Airlines,Convair CV-340-68B,11,11,0
1968-07-13,"Near Lagos, Nigeria",Sabena,Boeing 707-329C,7,7,0
1968-07-15,"Gravata, Brazil",Varig,Curtiss C-46C,3,3,0
1968-07-18,Off Chili,Aerolineas Flecha Austral,Curtiss C-46D,5,5,0
1968-08-02,"Near Milan, Italy",Alitalia,McDonnell Douglas DC-8,95,13,0
1968-08-04,"Milwaukee, Wisconsin",North Central Airlines / Private,Convair CV-580 / Cessna 150,15,3,0
1968-08-09,"Pfaffenhofen, Germany",British Eagle International Airlines,Vickers Viscount 739A,48,48,0
1968-08-10,"Charleston, West Virginia",Piedmont Airlines,Fairchild-Hiller FH-227B,37,35,0
1968-08-14,"Compton, California",Los Angeles Airways,Sikorsky S-61L helicopter,21,21,0
1968-08-18,"Off Port Said, Egypt",United Arab Airlines,Antonov AN-24V,40,40,0
1968-08-20,"Near Maturin, Venezuela",Linea Aeropostal Venezolana,Hawker Siddeley HS-748-215-2,7,4,0
1968-08-31,"Near Odda, Norway",Westwing,de Havilland Canada DHC-3 Otter,6,5,0
1968-09-03,"Near Burgas, Bulgaria",Bulair TABSO,Ilyushin IL-18,89,47,0
1968-09-08,"Flushing, New York",Far Aviation - Air Taxi / Speeds Flying - Air Taxi,Cessna 402 / Piper PA-28,9,2,0
1968-09-11,"Off Cap d'Antibes, France",Air France,Sud-Aviation Caravelle 3,95,95,0
1968-09-28,"Port Harcourt, Biafra, Nigeria",Pan African Airlines,Douglas C-54B,57,57,1
1968-10-08,"Puerto Cortes, Costa Rica",Aerovias del Valle,Britten-Norman BN-2 Islander,10,10,0
1968-10-11,"Near Prague, Czechoslovakia",Ceskoslovenske Aerolinie,Avia 14-40,40,11,0
